Table,Classification,ID,ZH,VN,TH
amazing_book_open.xlsx,name,7,低级残卷,Tàn Quyển Cấp Thấp,เศษซากม้วนกระดาษระดับต่ำ
amazing_book_open.xlsx,name,24,中级残卷,Trung cấp tàn quyển,เศษสมุดขั้นกลาง
amazing_book_open.xlsx,name,41,高级残卷,Tàn Quyển Cao Cấp,เศษซากขั้นสูง
amazing_book_open.xlsx,desc,7,<color=#ffa500>史诗诡术：2.2%</color>    <color=#e73ce6>极品诡术：8.8%</color>    <color=#64c6ff>普通诡术：89%</color>,<color=#ffa500>Thần Kỹ Huyền Thoại: </color>2.2%    Th<color=#e73ce6>ần Kỹ Tối Thượng: 8.8%</color>    Thần <color=#64c6ff>Kỹ Thông Thường: 89%</color>,<color=#ffa500>เทคนิคมหากาพย์: </color>2.2%    <color=#e73ce6>เทคนิคเลิศเลอ: 8.</color>8%    เ<color=#64c6ff>ทคนิคธรรมดา: 89%</color>
amazing_book_open.xlsx,desc,24,<color=#ffa500>史诗诡术：5%</color>    <color=#e73ce6>极品诡术：32%</color>    <color=#64c6ff>普通诡术：63%</color>,<color=#ffa500>Thuật Quỷ Thuật Huyền T</color>hoại: 5%    T<color=#e73ce6>huật Quỷ Thuật Tối Thượng: </color>32%    Thuật <color=#64c6ff>Quỷ Thuật Thông Thường: 63%</color>,<color=#ffa500>เทคนิคอัศจรรย์ระดับมห</color>ากาพย์: 5% เ<color=#e73ce6>ทคนิคอัศจรรย์ระดับสุดยอด</color>: 32% เทคนิค<color=#64c6ff>อัศจรรย์ระดับธรรมดา: 63%</color>
amazing_book_open.xlsx,desc,41,<color=#ffa500>史诗诡术：12%</color>    <color=#e73ce6>极品诡术：88%</color>    <color=#ff0000>10次必出史诗诡术</color>,<color=#ffa500>Kỹ thuật huyền thoại: 12</color>%    Kỹ thuậ<color=#e73ce6>t tối thượng: 88%    Đảm </color>bảo nhận kỹ <color=#ff0000>thuật huyền thoại sau 10 lần</color>,<color=#ffa500>เทคนิคมหากาพย์: 12</color>%    เทคนิ<color=#e73ce6>คสุดยอด: 88%    รับ</color>เทคนิคมหา<color=#ff0000>กาพย์แน่นอนใน 10 ครั้ง</color>
artifact.xlsx,name,7,打狗棒,Xuyên Long Thương,หอกทะลวงมังกร
artifact.xlsx,name,8,圣火令,Phụng Hoàng Diệm Nỏ,ขวานเปิดภูผา
artifact.xlsx,name,9,屠龙刀,Lam Vũ Phiến,กระบี่แผนภาพมังกร
artifact.xlsx,name,10,玄铁重剑,Phục Hy Cầm,ดาบพิชิตฟ้า
artifact.xlsx,name,11,倚天剑,Đông Hoàng Chung,วงล้อสุริยันจันทรา
artifact.xlsx,desc,7,对敌方随机敌人造成绝对伤害，并有概率对其施加流血,"Tạo sát thương tuyệt đối cho kẻ địch ngẫu nhiên, có xác suất khiến địch bị kèm trạng thái Lưu Huyết",สร้างดาเมจสัมบูรณ์แก่ศัตรูแบบสุ่ม และมีโอกาสทำให้ศัตรูได้รับสถานะเลือดไหล
artifact.xlsx,desc,8,对敌方随机敌人造成绝对伤害，并有概率降低其攻击力,"Tạo sát thương tuyệt đối cho kẻ địch ngẫu nhiên, có xác suất giảm sức tấn công của địch",สร้างดาเมจสัมบูรณ์แก่ศัตรูแบบสุ่ม และมีโอกาสลดโจมตีของศัตรู
artifact.xlsx,desc,9,对敌方随机敌人造成绝对伤害，并恢复己方生命,Tạo sát thương tuyệt đối cho kẻ địch ngẫu nhiên và hồi sinh lực phe ta,สร้างดาเมจสัมบูรณ์แก่ศัตรูแบบสุ่ม และฟื้นฟูพลังชีวิตฝ่ายเรา
artifact.xlsx,desc,10,对敌方随机敌人造成绝对伤害，并有概率降低其防御力,"Tạo sát thương tuyệt đối cho kẻ địch ngẫu nhiên, có xác suất giảm sức phòng thủ của địch",สร้างดาเมจสัมบูรณ์แก่ศัตรูแบบสุ่ม และมีโอกาสลดป้องกันของศัตรู
artifact.xlsx,desc,11,对敌方随机敌人造成绝对伤害，并有概率使其眩晕，无法行动,"Tạo sát thương tuyệt đối cho kẻ địch ngẫu nhiên, có xác suất khiến địch bị Choáng, không thể di chuyển",สร้างดาเมจสัมบูรณ์แก่ศัตรูแบบสุ่ม และมีโอกาสทำให้ศัตรูมึนงง ไม่สามารถเคลื่อนไหวได้
artifact_skin.xlsx,name,7,铁棋盘,Hủy Diệt Kiếm Trận,กระบวนดาบทำลายล้าง
artifact_skin.xlsx,name,19,红尘担,Phụng Hoàng Diệm Nỏ,หน้าไม้เพลิงฟีนิกซ์
artifact_skin.xlsx,name,31,淑女剑,Lam Vũ Phiến,พัดลมสายฝนขุนเขา
artifact_skin.xlsx,name,43,君子剑,Phục Hy Cầm,พิณฝูซี
artifact_skin.xlsx,name,55,真武剑,Đông Hoàng Chung,ระฆังตงหวง
artifact_skin.xlsx,name,67,金蛇剑,Ô Huyền Cơ,ร่มกลไก
artifact_skin.xlsx,name,79,绿波香露刀,Long Linh Kính,ดาบหอมกลิ่นคลื่นเขียว
artifact_skin.xlsx,name,91,鸳鸯刀,Thái Cực Đồ,แผนภาพไท้เก๊ก
artifact_skin.xlsx,name,103,鳄嘴剪,Sơn Hà Lục,บันทึกภูผานที
artifact_skin.xlsx,name,115,金轮,Thần Nông Đỉnh,กระถางเสินหนง
artifact_skin.xlsx,name,127,金刚杵,Linh Lung Bảo Tháp,หอสมบัติล้ำค่า
artifact_skin.xlsx,name,139,判官笔,Càn Khôn Bảo Hồ,น้ำเต้าคัมภีร์เฉียนคุน
artifact_skin.xlsx,name,151,血刀,Long Uyên Ngọc Tỷ,ตราประทับหยกหลงหยวน
artifact_skin.xlsx,name,163,绣花针,Kim Giao Tiễn,กรรไกรมังกรทอง
artifact_skin.xlsx,name,175,铁筝,Kế Đô La Hầu Kiếm,กระบี่เกตุราหู
artifact_skin.xlsx,name,187,冷月宝刀,Toản Tâm Đinh,ตะปูเจาะใจ
artifact_skin.xlsx,name,199,绝情网,Bút Phán Quan,เครือข่ายไร้หัวใจ
artifact_skin.xlsx,name,211,赤炼毒菱,Sinh Tử Bộ,บัญชีชีวิตและความตาย
battle_round.xlsx,name,7,测试战斗,Kiểm tra chiến đấu,ทดสอบการต่อสู้
battle_round.xlsx,name,8,江湖,Giang Hồ,ยุทธภพ
battle_round.xlsx,name,9,秘境试炼,Thí Luyện Bí Cảnh,บททดสอบแดนลับ
battle_round.xlsx,name,10,试炼宝塔,Thí Luyện Bảo Tháp,หอสมบัติทดสอบ
battle_round.xlsx,name,11,神炼塔,Thiên Võ Các,หอศาสตราวุธสวรรค์
battle_round.xlsx,name,12,活死人墓,Hoạt Tử Nhân Mộ,สุสานคนเป็น
battle_round.xlsx,name,13,聚顶昆仑,Tụ Đỉnh Côn Luân,ยอดเขาคุนหลุน
battle_round.xlsx,name,14,华山论剑,Hoa Sơn Luận Kiếm,ประลองกระบี่หัวซาน
battle_round.xlsx,name,15,切磋,So Tài,ฝึกฝน
battle_round.xlsx,name,16,比武擂台,Lôi Đài Tỷ Võ,อารีน่าประลองยุทธ
battle_round.xlsx,name,17,福威镖局,Đặc Quyền Phúc Uy,สำนักคุ้มภัยฝูเวย
battle_round.xlsx,name,18,血战聚贤,Huyết Chiến Tụ Hiền,โลหิตพิชิตยอดคน
battle_round.xlsx,name,19,天下第一,Thiên Hạ Đệ Nhất,อันดับหนึ่งใต้หล้า
battle_round.xlsx,name,20,天梯排位,Đấu Thiên Thê,จัดอันดับบันไดสวรรค์
battle_round.xlsx,name,21,死战雁门,Tử Chiến Nhạn Môn,สู้ตายที่เยี่ยนเหมิน
